Epoch,Train Accuracy,Train Loss,Val Accuracy,Val Loss
1,0.5021396279335022,0.7554713487625122,0.4935828745365143,0.711323618888855
2,0.5319604277610779,0.6989684700965881,0.4935828745365143,0.710873544216156
3,0.5581706166267395,0.6860705018043518,0.5042780637741089,0.7201818227767944
4,0.5825086832046509,0.6736210584640503,0.49732619524002075,0.7262344360351562
5,0.5890612602233887,0.667820930480957,0.4941176474094391,0.7185149192810059
6,0.5916020274162292,0.6647313833236694,0.488770067691803,0.7223280072212219
7,0.609788715839386,0.6576664447784424,0.49144384264945984,0.736068606376648
8,0.6024338006973267,0.6574616432189941,0.5042780637741089,0.732677161693573
9,0.6226263642311096,0.6442975401878357,0.5,0.7361285090446472
10,0.6243647933006287,0.6452676057815552,0.48181816935539246,0.750789999961853
11,0.6322546005249023,0.6355695724487305,0.5053476095199585,0.7472264170646667
12,0.6380048394203186,0.6275736689567566,0.5010695457458496,0.7568855285644531
13,0.6473656296730042,0.6246602535247803,0.5016042590141296,0.7551925778388977
14,0.6560577750205994,0.6141356825828552,0.5096256732940674,0.7768506407737732
15,0.6646162271499634,0.6074230074882507,0.5048128366470337,0.7672548890113831
16,0.6630114912986755,0.6063219904899597,0.498395711183548,0.77311772108078
17,0.6686279773712158,0.6007951498031616,0.48770052194595337,0.7843406200408936
18,0.6761165857315063,0.5942812561988831,0.488770067691803,0.8018867373466492
19,0.6914950609207153,0.5773338675498962,0.5005347728729248,0.8012294769287109
20,0.6933671832084656,0.5736411213874817,0.5058823823928833,0.8048385977745056
